event_id,date,gov_deaths,rebel_deaths,civilian_deaths,deaths,where_coordinates,geometry
405579,2021-07-05T00:00:00Z,2,2,0,12,Az Zāhir town,"c(45.466516, 13.964795)"
410861,2021-07-05T00:00:00Z,0,0,1,1,Al Ḩazm town,"c(44.776919, 16.164056)"
410862,2021-07-06T00:00:00Z,0,0,2,2,Yatmah town,"c(45.053996, 16.981571)"
410858,2021-07-06T00:00:00Z,0,0,0,0,Ta'izz town,"c(44.020908, 13.579522)"
410885,2021-07-12T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
410920,2021-07-12T00:00:00Z,0,0,1,1,Ghāfirah area,"c(43.284329, 16.676543)"
410590,2021-07-14T00:00:00Z,44,15,1,60,Rahabah Al Kawlah town,"c(44.988896, 14.895677)"
410923,2021-07-15T00:00:00Z,0,0,1,1,Al Umm Shaykh area,"c(43.21884, 17.10076)"
410925,2021-07-19T00:00:00Z,0,0,1,1,Dhī Maḑḑāḩī village,"c(45.65859, 14.06794)"
410948,2021-07-19T00:00:00Z,0,0,0,0,Ta'izz town,"c(44.020908, 13.579522)"
424798,2021-07-24T00:00:00Z,10,1,0,11,Mashjah area,"c(45.08406, 15.465293)"
424800,2021-07-24T00:00:00Z,10,1,0,11,Kassara checkpoint,"c(45.126389, 15.544167)"
412953,2021-07-24T00:00:00Z,14,3,0,17,Kassara checkpoint,"c(45.126389, 15.544167)"
410937,2021-07-25T00:00:00Z,0,0,3,3,Ta'izz town,"c(44.020908, 13.579522)"
410938,2021-07-26T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
410958,2021-07-28T00:00:00Z,0,0,5,5,Al Hiddah village,"c(43.019633, 14.611075)"
410946,2021-07-28T00:00:00Z,0,0,1,1,Ghanīyah village,"c(45.644074, 14.728688)"
410603,2021-07-28T00:00:00Z,0,9,1,10,Bayḩān town,"c(45.718891, 14.800669)"
412838,2021-07-29T00:00:00Z,24,0,0,24,Rahab area,"c(44.50933, 16.97666)"
410961,2021-07-30T00:00:00Z,0,0,3,3,Ad Dahi village,"c(44.402815, 13.447679)"
410592,2021-07-31T00:00:00Z,40,0,0,40,Baqtah al ‘Ulyā village,"c(45.132444, 14.965528)"
414026,2021-08-01T00:00:00Z,3,0,0,3,Jadafir front,"c(45.1987, 15.901)"
